iter	Logloss
0	0.6447871462
1	0.6031565142
2	0.5643582985
3	0.5340205474
4	0.504775364
5	0.4820258537
6	0.4604534269
7	0.443890379
8	0.4266320258
9	0.4145198656
10	0.4006024824
11	0.3905876469
12	0.3788496524
13	0.3692494949
14	0.3604511755
15	0.353450911
16	0.3460397457
17	0.340908739
18	0.3362365404
19	0.3320419424
20	0.3276751022
21	0.3232061832
22	0.3206717934
23	0.3172351165
24	0.3140751819
25	0.3105635014
26	0.3074921268
27	0.3049643126
28	0.301931181
29	0.3001155584
30	0.2984540809
31	0.2964046823
32	0.2948793373
33	0.2935930958
34	0.2916109449
35	0.290124227
36	0.2887117422
37	0.2874082515
38	0.2861298385
39	0.2851813933
40	0.2831828057
41	0.2824437544
42	0.2812102091
43	0.2801791332
44	0.2787003186
45	0.277382473
46	0.2765258428
47	0.2757333014
48	0.2750387596
49	0.2739689161
50	0.2731785127
51	0.2726799606
52	0.2712694289
53	0.2702946414
54	0.2698524011
55	0.2692129745
56	0.268601705
57	0.2683518037
58	0.2677249826
59	0.2672174242
60	0.2662725899
61	0.2657102019
62	0.2645141316
63	0.26399615
64	0.2636076738
65	0.2632555414
66	0.2628670816
67	0.262557953
68	0.2622351415
69	0.2615188941
70	0.2611635582
71	0.260778337
72	0.2603648041
73	0.2601211201
74	0.2591573576
75	0.2589112499
76	0.2587304885
77	0.2586205461
78	0.2577792192
79	0.2571024886
80	0.2567202438
81	0.256547353
82	0.2562624567
83	0.2559070365
84	0.2554184274
85	0.2551269906
86	0.2548424292
87	0.2544844565
88	0.254255584
89	0.2539733807
90	0.2538265465
91	0.2534013705
92	0.2526518773
93	0.2523836121
94	0.2521946077
95	0.25207176
96	0.2519671356
97	0.2514046633
98	0.2512887565
99	0.2511076087
100	0.2508448372
101	0.2506560132
102	0.2502842219
103	0.2501248757
104	0.2500121115
105	0.2497755066
106	0.2495784139
107	0.2493704134
108	0.2492163759
109	0.2491240504
110	0.2490356778
111	0.2489453029
112	0.2487333191
113	0.2486295214
114	0.2485058119
115	0.2484059998
116	0.2482473843
117	0.2480362575
118	0.2478977412
119	0.2477692779
120	0.2470392165
121	0.2466848876
122	0.2466164619
123	0.2461846869
124	0.2459105907
125	0.2457280238
126	0.2454417412
127	0.2453004054
128	0.2450873678
129	0.2447906785
130	0.2446299577
131	0.2444856853
132	0.2443659263
133	0.2442232861
134	0.2441527833
135	0.2437050505
136	0.2435707422
137	0.2434840568
138	0.2433765674
139	0.2430470117
140	0.2426811977
141	0.2425372321
142	0.2424337857
143	0.2423538714
144	0.2421324421
145	0.2419554556
146	0.2416948537
147	0.2412545044
148	0.2409610842
149	0.2407420611
150	0.240524073
151	0.2402389929
152	0.2401096679
153	0.239996858
154	0.2399041063
155	0.2389043453
156	0.2387637155
157	0.2385207657
158	0.2382687685
159	0.2381196745
160	0.237986276
161	0.2379087515
162	0.2378152118
163	0.2377406976
164	0.237678077
165	0.2375383114
166	0.2372365042
167	0.2370621521
168	0.2369697915
169	0.236789057
170	0.236642032
171	0.2364757929
172	0.2363955519
173	0.2361727411
174	0.2358520934
175	0.2357857039
176	0.2357332477
177	0.2356295155
178	0.2354572195
179	0.2350967342
180	0.2350164312
181	0.2346781923
182	0.234408919
183	0.2342137746
184	0.2340852657
185	0.2339434627
186	0.2335970476
187	0.233442166
188	0.2331485877
189	0.2329912332
190	0.2328367286
191	0.2327117475
192	0.2324858268
193	0.2324305558
194	0.232222745
195	0.2321142263
196	0.2320251758
197	0.2319331547
198	0.2318250845
199	0.231667751
200	0.2315266002
201	0.2314213623
202	0.2312382487
203	0.2311406531
204	0.2309007053
205	0.2307407936
206	0.2305739211
207	0.2304042971
208	0.2303133415
209	0.2302087265
210	0.2300678356
211	0.2299380317
212	0.2296781417
213	0.2295906554
214	0.2295066372
215	0.2294520313
216	0.2293257236
217	0.2292043617
218	0.2289841431
219	0.2287992415
220	0.2285863971
221	0.2284456947
222	0.2283275691
223	0.2282331384
224	0.2281818659
225	0.2279452118
226	0.2278123168
227	0.2277107321
228	0.2275842113
229	0.227485919
230	0.2273009624
231	0.2270478517
232	0.2267505559
233	0.2266584646
234	0.2265246141
235	0.2263632752
236	0.2261311816
237	0.2258444798
238	0.2256638063
239	0.2255552115
240	0.2254651809
241	0.2252383926
242	0.2250778638
243	0.2245868603
244	0.2243243101
245	0.2240690251
246	0.2237823749
247	0.2235533994
248	0.2233800449
249	0.2231642827
250	0.2229869964
251	0.222865693
252	0.2224943993
253	0.2223697168
254	0.2222000623
255	0.2220490247
256	0.221951888
257	0.2216566647
258	0.2213624916
259	0.221281095
260	0.221153963
261	0.2209046436
262	0.220780865
263	0.2206681839
264	0.2205744194
265	0.2204649429
266	0.220352215
267	0.2200772699
268	0.2199591736
269	0.2198535645
270	0.2196681735
271	0.2195054787
272	0.219172538
273	0.219013453
274	0.2187123378
275	0.2183010261
276	0.21814634
277	0.2179377095
278	0.2177694507
279	0.2175736729
280	0.2173981804
281	0.2172363309
282	0.2170968662
283	0.2170054012
284	0.2168401036
285	0.2166254583
286	0.2165375224
287	0.2164341427
288	0.2163709602
289	0.2163029829
290	0.216238893
291	0.2160271187
292	0.2158990091
293	0.2157283055
294	0.2156159206
295	0.215523814
296	0.2153528002
297	0.2152070677
298	0.2150994389
299	0.2149505931
